Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Trust Region-Standard,Computational_Cost,Trust Region-Standard,69.100162,0.001000,true,21.851390
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-Nesterov,Final_Objective_Value,QQN-Bisection-2,-31.053356,0.001000,true,9.819933
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-Nesterov,Computational_Cost,GD-Nesterov,211.030676,0.001000,true,66.733759
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-WeightDecay,Final_Objective_Value,QQN-Bisection-2,-24.505072,0.001000,true,7.749184
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-WeightDecay,Computational_Cost,QQN-Bisection-2,-48.192606,0.001000,true,15.239840
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-AMSGrad,Final_Objective_Value,QQN-Bisection-2,-20.198452,0.001000,true,6.387311
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,20.653974,0.001000,true,6.531360
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-Momentum,Final_Objective_Value,QQN-Bisection-2,-30.955159,0.001000,true,9.788881
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD-Momentum,Computational_Cost,GD-Momentum,211.772451,0.001000,true,66.968329
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD,Final_Objective_Value,QQN-Bisection-2,-27.975749,0.001000,true,8.755110
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-2,GD,Computational_Cost,QQN-Bisection-2,-48.192606,0.001000,true,15.239840
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-7.332496,0.001000,true,2.030901
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam,Computational_Cost,Adam,151.464819,0.001000,true,33.868563
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Final_Objective_Value,L-BFGS-Aggressive,18.738585,0.001000,true,4.190075
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS-Aggressive,Computational_Cost,QQN-CubicQuadraticInterpolation,-30.418434,0.001000,true,6.801769
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-27.326038,0.001000,true,7.049027
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,59.965278,0.001000,true,18.838761
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS,Final_Objective_Value,L-BFGS,8.698340,0.001000,true,2.687188
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS,Computational_Cost,L-BFGS,3.524822,0.001000,true,1.113901
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Final_Objective_Value,-,-1.475316,0.500000,false,0.466535
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,58.952038,0.001000,true,18.546730
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Final_Objective_Value,L-BFGS-Conservative,24.416037,0.001000,true,6.974046
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,L-BFGS-Conservative,Computational_Cost,L-BFGS-Conservative,43.856554,0.001000,true,12.193083
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-Fast,Final_Objective_Value,Adam-Fast,26.419294,0.001000,true,5.907534
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-Fast,Computational_Cost,Adam-Fast,56.925342,0.001000,true,12.728893
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Final_Objective_Value,Adam-WeightDecay,8.110716,0.001000,true,2.442798
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,151.464819,0.001000,true,33.868563
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Final_Objective_Value,-,-2.198367,0.050000,false,0.695178
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Computational_Cost,Trust Region-Standard,87.218301,0.001000,true,27.295736
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-Nesterov,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-30.320301,0.001000,true,8.291834
NeuralNetwork_100samples_layers_5_10_3,QQN-CubicQuadraticInterpolation,GD-Nesterov,Computational_Cost,GD-Nesterov,573.075140,0.001000,true,131.048166
