Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-Bisection-2,7.154664e-2,NaN,7.154664e-2,2.459194e-14,7.154664e-2,7.154664e-2,9.0,103.0,NaN,103.0,117.0,NaN,117.0,0.039,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,GD,7.155039e-2,NaN,7.155039e-2,4.732972e-7,7.154965e-2,7.155184e-2,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.171,0.000,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-Bisection-2,4.816489e-1,4.816489e-1,NaN,4.747280e-14,4.816489e-1,4.816489e-1,10.7,121.7,121.7,NaN,132.3,132.3,NaN,0.080,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Adam-Fast,5.051429e-1,4.824055e-1,5.108272e-1,3.817464e-2,4.816489e-1,5.798986e-1,107.2,217.3,315.0,192.9,216.3,314.0,191.9,0.132,0.200,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-StrongWolfe,4.816489e-1,4.816489e-1,NaN,8.175805e-15,4.816489e-1,4.816489e-1,15.0,126.0,126.0,NaN,136.2,136.2,NaN,0.086,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-MoreThuente,4.816489e-1,4.816489e-1,NaN,5.411288e-14,4.816489e-1,4.816489e-1,16.6,138.4,138.4,NaN,130.9,130.9,NaN,0.086,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,GD-Momentum,2.461506e0,NaN,2.461506e0,2.778197e-2,2.397731e0,2.506720e0,35.0,38.0,NaN,38.0,72.0,NaN,72.0,0.035,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-Bisection-1,4.816489e-1,4.816489e-1,NaN,4.609113e-14,4.816489e-1,4.816489e-1,10.8,143.8,143.8,NaN,173.5,173.5,NaN,0.100,1.000,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Adam,1.004164e2,NaN,1.004164e2,2.838608e0,9.568769e1,1.058446e2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.304,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Trust Region-Adaptive,6.625751e1,NaN,6.625751e1,3.072931e0,6.023594e1,7.036380e1,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.288,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-Backtracking,4.816489e-1,4.816489e-1,NaN,9.250980e-15,4.816489e-1,4.816489e-1,15.0,104.0,104.0,NaN,87.0,87.0,NaN,0.062,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,GD,4.821236e-1,NaN,4.821236e-1,1.836842e-5,4.820740e-1,4.821579e-1,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.313,0.000,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,L-BFGS-Conservative,4.816504e-1,NaN,4.816504e-1,8.531558e-7,4.816491e-1,4.816521e-1,110.0,557.0,NaN,557.0,446.0,NaN,446.0,0.311,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-GoldenSection,4.816489e-1,4.816489e-1,NaN,6.588733e-14,4.816489e-1,4.816489e-1,11.3,362.1,362.1,NaN,64.8,64.8,NaN,0.124,1.000,60
LinearRegression_200samples_10features_reg0.01,ML Regression,10,GD-WeightDecay,4.816491e-1,4.816491e-1,NaN,2.823389e-10,4.816491e-1,4.816491e-1,224.4,226.4,226.4,NaN,450.9,450.9,NaN,0.213,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,L-BFGS,4.886560e-1,4.886560e-1,NaN,3.054320e-2,4.816489e-1,6.217907e-1,27.7,181.3,181.3,NaN,116.4,116.4,NaN,0.090,1.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Adam-WeightDecay,7.488820e1,NaN,7.488820e1,1.999574e0,7.115427e1,7.889094e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.304,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Trust Region-Standard,2.769622e3,NaN,2.769622e3,4.385938e3,7.101708e-1,1.266874e4,121.9,368.6,NaN,368.6,245.8,NaN,245.8,0.177,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Trust Region-Conservative,1.150598e2,NaN,1.150598e2,3.080941e0,1.092716e2,1.201056e2,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.289,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,L-BFGS-Aggressive,5.150196e-1,4.816489e-1,5.843279e-1,5.996219e-2,4.816489e-1,7.193040e-1,59.2,486.6,352.0,766.2,180.1,151.7,239.0,0.192,0.675,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,QQN-CubicQuadraticInterpolation,4.816489e-1,4.816489e-1,NaN,1.402116e-9,4.816489e-1,4.816489e-1,14.5,161.2,161.2,NaN,174.3,174.3,NaN,0.108,1.000,40
LinearRegression_200samples_10features_reg0.01,ML Regression,10,Adam-AMSGrad,1.008619e2,NaN,1.008619e2,2.421426e0,9.638459e1,1.060082e2,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.305,0.000,20
LinearRegression_200samples_10features_reg0.01,ML Regression,10,GD-Nesterov,1.802852e0,NaN,1.802852e0,1.310592e-2,1.778880e0,1.820965e0,35.0,38.0,NaN,38.0,71.9,NaN,71.9,0.035,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Adam,2.028102e-1,NaN,2.028102e-1,4.275271e-3,1.962249e-1,2.146078e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.420,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,L-BFGS-Conservative,1.609134e-1,NaN,1.609134e-1,5.227925e-3,1.525267e-1,1.701933e-1,106.0,574.9,NaN,574.9,430.9,NaN,430.9,0.403,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,GD-Nesterov,2.280069e-1,NaN,2.280069e-1,3.957922e-3,2.224687e-1,2.385818e-1,18.2,21.2,NaN,21.2,38.5,NaN,38.5,0.029,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Adam-WeightDecay,1.777813e-1,NaN,1.777813e-1,8.355928e-3,1.601976e-1,1.949976e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.422,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Adam-AMSGrad,2.010633e-1,NaN,2.010633e-1,5.436143e-3,1.895050e-1,2.129548e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.422,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,Trust Region-Standard,5.203389e-1,NaN,5.203389e-1,6.466736e-1,1.896774e-1,2.590352e0,11.4,36.5,NaN,36.5,24.8,NaN,24.8,0.023,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-Backtracking,1.451299e-1,NaN,1.451299e-1,9.111101e-3,1.226621e-1,1.624359e-1,76.0,545.4,NaN,545.4,462.7,NaN,462.7,0.448,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,GD-WeightDecay,2.082266e-1,NaN,2.082266e-1,2.760565e-3,2.040198e-1,2.144951e-1,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.478,0.000,20
NeuralNetwork_100samples_layers_5_10_3,ML Neural Networks,93,QQN-StrongWolfe,1.470552e-1,NaN,1.470552e-1,1.322244e-2,1.232941e-1,1.730071e-1,60.0,476.8,NaN,476.8,535.0,NaN,535.0,0.466,0.000,20
