Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-18.571439,0.001000,true,5.872805
Levy_2D,QQN-CubicQuadraticInterpolation,Adam-AMSGrad,Computational_Cost,QQN-CubicQuadraticInterpolation,-19.782252,0.001000,true,4.423446
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Final_Objective_Value,-,-2.127109,0.050000,false,0.672651
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Standard,Computational_Cost,Trust Region-Standard,26.424660,0.001000,true,5.984535
Levy_2D,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-32.813860,0.001000,true,10.376654
Levy_2D,QQN-CubicQuadraticInterpolation,GD-WeightDecay,Computational_Cost,QQN-CubicQuadraticInterpolation,-35.938974,0.001000,true,8.036199
Levy_2D,QQN-CubicQuadraticInterpolation,GD,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-26.899643,0.001000,true,6.014943
Levy_2D,QQN-CubicQuadraticInterpolation,GD,Computational_Cost,QQN-CubicQuadraticInterpolation,-35.938974,0.001000,true,8.036199
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS,Final_Objective_Value,-,-1.111343,0.500000,false,0.351437
Levy_2D,QQN-CubicQuadraticInterpolation,L-BFGS,Computational_Cost,QQN-CubicQuadraticInterpolation,-4.834831,0.001000,true,1.478049
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Final_Objective_Value,QQN-CubicQuadraticInterpolation,-23.260402,0.001000,true,7.355585
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Conservative,Computational_Cost,QQN-CubicQuadraticInterpolation,-5.480935,0.001000,true,1.550170
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Final_Objective_Value,-,-1.907096,0.100000,false,0.603077
Levy_2D,QQN-CubicQuadraticInterpolation,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,26.155087,0.001000,true,5.891215
Levy_2D,QQN-MoreThuente,L-BFGS-Conservative,Final_Objective_Value,-,-1.717783,0.100000,false,0.543211
Levy_2D,QQN-MoreThuente,L-BFGS-Conservative,Computational_Cost,QQN-MoreThuente,-13.243380,0.001000,true,4.187924
Levy_2D,QQN-MoreThuente,Adam,Final_Objective_Value,QQN-MoreThuente,-21.389599,0.001000,true,6.763985
Levy_2D,QQN-MoreThuente,Adam,Computational_Cost,QQN-MoreThuente,-11.142262,0.001000,true,3.523493
Levy_2D,QQN-MoreThuente,Adam-Fast,Final_Objective_Value,QQN-MoreThuente,-102.302711,0.001000,true,22.875582
Levy_2D,QQN-MoreThuente,Adam-Fast,Computational_Cost,Adam-Fast,5.981388,0.001000,true,1.891286
Levy_2D,QQN-MoreThuente,GD-Momentum,Final_Objective_Value,QQN-MoreThuente,-30.391183,0.001000,true,9.610536
Levy_2D,QQN-MoreThuente,GD-Momentum,Computational_Cost,GD-Momentum,5.814515,0.001000,true,1.838711
Levy_2D,QQN-MoreThuente,Adam-WeightDecay,Final_Objective_Value,QQN-MoreThuente,-10.370359,0.001000,true,3.279395
Levy_2D,QQN-MoreThuente,Adam-WeightDecay,Computational_Cost,QQN-MoreThuente,-11.142262,0.001000,true,3.523493
Levy_2D,QQN-MoreThuente,GD-Nesterov,Final_Objective_Value,QQN-MoreThuente,-21.160271,0.001000,true,6.691465
Levy_2D,QQN-MoreThuente,GD-Nesterov,Computational_Cost,GD-Nesterov,5.814515,0.001000,true,1.838711
Levy_2D,QQN-MoreThuente,L-BFGS-Aggressive,Final_Objective_Value,-,-1.929440,0.100000,false,0.431436
Levy_2D,QQN-MoreThuente,L-BFGS-Aggressive,Computational_Cost,QQN-MoreThuente,-14.209965,0.001000,true,3.904480
Levy_2D,QQN-MoreThuente,Adam-AMSGrad,Final_Objective_Value,QQN-MoreThuente,-18.571439,0.001000,true,5.872805
Levy_2D,QQN-MoreThuente,Adam-AMSGrad,Computational_Cost,QQN-MoreThuente,-11.142262,0.001000,true,3.523493
